nombre;codigo_local;provincia;distrito;centro_poblado;direccion;tipo_gestion
013 MARIA MADRE DE FE;826911;Chiclayo;Eten;ETEN;CALLE UNION Y PROGRESO 804;Pública
KAIROS;826925;Chiclayo;Santa Rosa;SOL DE ORO;CALLE SIMON BOLIVAR S/N MZ U LOTE B SECTOR 5;Privada
075;827779;Chiclayo;Picsi;VISTA FLORIDA;VISTA FLORIDA SECTOR 01;Pública
INTERNACIONAL PERUANO ESPAÑOL;829373;Chiclayo;La Victoria;CHOSICA DEL NORTE;CALLE 03 S/N;Privada
EMANUEL II;830362;Chiclayo;Chongoyape;PAMPAGRANDE;AVENIDA TUPAC AMARU S/N MZ 26 LOTE 3;Privada
PEREGRINO JUAN PABLO II;830828;Chiclayo;La Victoria;LA VICTORIA;AVENIDA FRATERNIDAD 360;Privada
HBS COLLEGE;830833;Chiclayo;Chiclayo;CHICLAYO;AVENIDA AGRICULTURA KM. 1;Privada
ZENIT;832021;Chiclayo;José Leonardo Ortiz;NUEVO SAN LORENZO;AVENIDA VENEZUELA 3425;Privada
MARIA MONTESSORI COLLEGE;833431;Chiclayo;Reque;REQUE;PASAJE 13 DE NOVIEMBRE 104;Privada
SANTOS LLATAS COLLEGE;835185;Chiclayo;Reque;REQUE;AVENIDA MARISCAL CASTILLA 282;Privada
SANTA ANA SCHOOL;838382;Chiclayo;La Victoria;LA VICTORIA;AVENIDA LOS INCAS 268 SECTOR II;Privada
MARIA, REINA DE LOS SACERDOTES;838396;Chiclayo;Chiclayo;CHICLAYO;PASAJE ORTIZ VELEZ 189;Privada
JHESER SCHOOL;838400;Chiclayo;José Leonardo Ortiz;JOSE LEONARDO ORTIZ;CALLE PROCERES 462;Privada
11513 JUAN PARDO Y MIGUEL;838730;Chiclayo;Pátapo;PATAPO;CALLE LOS GERANIOS;Pública
11532;838773;Chiclayo;Pátapo;PATAPO;AVENIDA REAL S/N;Pública
VLEP COLLEGE;838834;Chiclayo;Chiclayo;CHICLAYO;CALLE JORGE BASADRE 103;Privada
OPEN MINDS SCHOOL SANTA RITA;839635;Chiclayo;Chiclayo;CHICLAYO;AVENIDA LA LIBERTAD 573;Privada
LA INMACULADA;840771;Chiclayo;La Victoria;CHACUPE ALTO;AVENIDA PROLONGACION GRAU S/N;Privada
SANTA BEATRIZ KINDER COLLEGE;842807;Chiclayo;Chiclayo;CHICLAYO;CALLE LOS PINOS 163;Privada
SEMILLITAS DE SANTA LUCIA;844284;Chiclayo;José Leonardo Ortiz;JOSE LEONARDO ORTIZ;UPIS SANTA LUCIA MZ C LOTE 52;Privada
MELITON CARBAJAL;847145;Chiclayo;Chiclayo;CHICLAYO;CALLE SAN MARTIN 533;Privada
MONTESSORI KINDER SCHOOL;849210;Chiclayo;Chiclayo;CHICLAYO;CALLE FRANCISCO CUNEO 418;Privada
BERTRAND RUSSELL;850784;Chiclayo;Tumán;TUMAN;MZ C LOTE 7 SECTOR BUEN AÑO;Privada
CIMA;852047;Chiclayo;José Leonardo Ortiz;JOSE LEONARDO ORTIZ;CALLE CRUZ DE CHALPON 117-125;Privada
NEW PEOPLE KIDS;854046;Chiclayo;La Victoria;LA VICTORIA;AVENIDA CHINCHAYSUYO 1263;Privada
AMORES DE CRISTO;859176;Chiclayo;Chiclayo;CHICLAYO;MZ N' LOTE 24 - 25 ETAPA I;Privada
11024 JOSE QUIÑONES GONZALES;859647;Chiclayo;Chiclayo;CHICLAYO;MZ 17 LOTE 1 ETAPA I;Pública
EMPRENDEDORES GAJEL;860028;Chiclayo;Chiclayo;CHICLAYO;AVENIDA BOLOGNESI 015;Privada
MARIA MONTESSORI Y SUS AMIGOS;860033;Chiclayo;Pimentel;LA PRADERA;SECTOR LA PERLA DEL PACIFICO MZ J LOTE 5;Privada
SAN VICENTE DE PAUL;860245;Chiclayo;Pomalca;POMALCA;MZ D LOTE 2 SECTOR 26;Privada
REMIGIO SILVA;863140;Chiclayo;Pimentel;PIMENTEL;CARRETERA CHICLAYO - PIMENTEL KM 8.5;Privada
RONDA;863159;Chiclayo;José Leonardo Ortiz;JOSE LEONARDO ORTIZ;CALLE ECUADOR 1647;Privada
MIGUEL GRAU SEMINARIO;863164;Chiclayo;La Victoria;LA VICTORIA;MZ A LOTE 3 Y 4;Privada
CESAR AUGUSTO COLLEGE;864210;Chiclayo;Chiclayo;CHICLAYO;CALLE JUAN PARDO Y MIGUEL 393;Privada
SAN JUAN;864267;Chiclayo;Chiclayo;CHICLAYO;CALLE JUAN BUENDIA 195;Privada
SANTA ANA SCHOOL;864639;Chiclayo;Chiclayo;SANTA VICTORIA;CALLE LOS SAUCES 333;Privada
PAULA FRASSINETTI;864979;Chiclayo;Picsi;PICSI;CALLE JOSE CARLOS MARIATEGUI 107;Privada
LOS CARIÑOSITOS TRAVIESOS;865511;Chiclayo;Tumán;TUMAN;CALLE MZ 5 LOTE 1 ETAPA II;Privada
JESUS DE NAZARETH;865808;Chiclayo;Pimentel;PIMENTEL;CALLE QUIÑONES;Privada
BURBUJITAS GARDEN HOUSE;865889;Chiclayo;José Leonardo Ortiz;CARLOS STAIN;CALLE WASHINGTON MZ M LOTE 3-4;Privada
CORAZONES MAGICOS;866351;Chiclayo;Chiclayo;SANTA VICTORIA;CALLE LOS ALAMOS 239;Privada
NIÑO DIOS;866365;Chiclayo;Oyotún;OYOTUN;CALLE MANUEL GONZALES PRADA 250;Privada
AMANCIO VARONA;866662;Chiclayo;Tumán;TUMAN;BLOCK 10 1001;Privada
NEW SCHOOL;901627;Chiclayo;Monsefú;MONSEFU;CALLE JOSE OLAYA 317-319 MZ 0 LOTE 0;Privada
ALBERT EINSTEIN KIDS;902603;Chiclayo;José Leonardo Ortiz;CARLOS STAIN;CALLE ROOSVELT 1998;Privada
JOSE MARIA ARGUEDAS;907422;Chiclayo;Eten;ETEN;CALLE MANSICHE S/N MZ 74 LOTE 43-44;Privada
LOS SAUCES;907436;Chiclayo;Santa Rosa;SANTA ROSA;AVENIDA MARISCAL RAMON CASTILLA 1120;Privada
TALENTOSITOS KIDS;907605;Chiclayo;Pimentel;PIMENTEL;MZ A2 LOTE 16-17;Privada
AMIGOS SCHOOL;914173;Chiclayo;La Victoria;LA VICTORIA;CALLE CORICANCHA 448;Privada
SAN JUAN SCHOOL;914234;Chiclayo;José Leonardo Ortiz;NUEVO SAN LORENZO;AVENIDA MARIANO CORNEJO 345;Privada
COLEGIO VLEP COLLEGE;914333;Chiclayo;Chiclayo;CHICLAYO;AVENIDA JOSE LEONARDO ORTIZ 355;Privada
INGENIERIA;914842;Chiclayo;Monsefú;MONSEFU;AVENIDA CENTENARIO 1609;Privada
DAVID SCHOOL;916054;Chiclayo;José Leonardo Ortiz;JOSE LEONARDO ORTIZ;MZ E LOTE 28;Privada
SONRISITAS;916855;Chiclayo;Chiclayo;CHICLAYO;MZ X LOTE 01;Privada
CONSTANTINO CARVALLO;917416;Chiclayo;Reque;REQUE;CALLE LEONCIO PRADO 373;Privada
EL NAZARENO;917459;Chiclayo;Chiclayo;LOS PARQUES;CALLE MANUEL ARTEAGA 430;Privada
FREDERICK SANGER;917464;Chiclayo;Chiclayo;CHICLAYO;MZ A LOTE 1;Privada
MIS SUEÑOS;917609;Chiclayo;Chiclayo;CHICLAYO;AVENIDA TUPAC AMARU S/N;Privada
ZION SCHOLL;998851;Chiclayo;Eten;ETEN;CALLE MANUEL BONILLA 479;Privada
DAVID AUSUBEL;998865;Chiclayo;Chiclayo;EL AMAUTA;AVENIDA GUARDIA CIVIL MZ F2 LOTE 24;Privada
