nombre;codigo_local;provincia;distrito;centro_poblado;direccion;tipo_gestion
CEPAS COLLEGE;674521;Chiclayo;La Victoria;LA VICTORIA;AVENIDA LOS AMAUTAS 650;Privada
LEONARDO DA VINCI;674535;Chiclayo;Pátapo;PATAPO;CALLE ENRIQUE LOPEZ ALBUJAR 151;Privada
ZENON DE ELEA;674540;Chiclayo;Tumán;TUMAN;AVENIDA EL TREN CHALET 9;Privada
LOS ANGELES;674559;Chiclayo;Pucalá;PUCALA;AVENIDA JOSE OLAYA 60;Privada
MARIA DE FATIMA;674597;Chiclayo;Pucalá;PUCALA;CALLE JOSE OLAYA 03;Privada
SAGRADO CORAZON DE JESUS;674601;Chiclayo;Chiclayo;CHICLAYO;CALLE MANCO CAPAC 535;Privada
SAN JUAN COLLEGE;674615;Chiclayo;Chiclayo;CHICLAYO;AVENIDA NICOLAS DE PIEROLA 690;Privada
SEMILLERO DEL SABER;674644;Chiclayo;La Victoria;LA VICTORIA;AVENIDA LOS INCAS 1168;Privada
NUEVO AMANECER;674658;Chiclayo;Chongoyape;CHONGOYAPE;AVENIDA INCA GARCILAZO DE LA VEGA Y LA FORTALEZA S/N;Privada
LOS NIÑOS DE FATIMA;674663;Chiclayo;Chiclayo;MIRAFLORES;CARRETERA A POMALCA KM. 3 MZ B LOTE 7;Privada
MILLENIUN;674682;Chiclayo;Tumán;TUMAN;AVENIDA LAS CASUARINAS MZ 10 LOTE 3;Privada
INGENIERIA;674700;Chiclayo;Chiclayo;CHICLAYO;AVENIDA ALFREDO LAPOINT 959;Privada
ALBERT EINSTEIN;674724;Chiclayo;Pimentel;PIMENTEL;CALLE MIGUEL GRAU 252;Privada
MARIA MERCED;674738;Chiclayo;José Leonardo Ortiz;JOSE LEONARDO ORTIZ;AVENIDA SAN MARTIN 1473;Privada
BRUNING COLLEGE;674757;Chiclayo;Chiclayo;CHICLAYO;AVENIDA JOSE LEONARDO ORTIZ 355;Privada
PRISMA;674762;Chiclayo;José Leonardo Ortiz;JOSE LEONARDO ORTIZ;AVENIDA SAENZ PEÑA 2313;Privada
319 SAN JOSE DEL MILAGRO;674776;Chiclayo;Eten;VILLA EL MILAGRO;VILLA EL MILAGRO MZ LL LOTE 1;Pública
KINDER PESTALOZZI;674781;Chiclayo;Chiclayo;CHICLAYO;AVENIDA LOS LAURELES 144;Privada
RITELA CHECA BLANCO;674795;Chiclayo;Chongoyape;CHONGOYAPE;CALLE SIMON BOLIVAR 925;Privada
BRITANNIC CHILDREN SCHOOL;674818;Chiclayo;Chiclayo;CHICLAYO;CALLE 7 DE ENERO 1552;Privada
LA ANUNCIATA;674823;Chiclayo;José Leonardo Ortiz;JOSE LEONARDO ORTIZ;AVENIDA BALTA Y OVELISCO S/N;Privada
BRUNNER;674842;Chiclayo;José Leonardo Ortiz;JOSE LEONARDO ORTIZ;CALLE PANAMA 605;Privada
ROSARIO RUIZ MALDONADO;674856;Chiclayo;Chongoyape;CHONGOYAPE;AVENIDA TUPAC AMARU 1298;Privada
SEÑOR DE LOS MILAGROS;674861;Chiclayo;Chiclayo;CHICLAYO;CALLE SAN JOSE 1222;Privada
LEONARD EULER;674875;Chiclayo;Pátapo;PATAPO;AVENIDA LA RIVERA 02;Privada
SANTA ROSA HIGH SCHOOL;674880;Chiclayo;Santa Rosa;SANTA ROSA;CALLE UNION 524;Privada
EUROAMERICANO;674899;Chiclayo;La Victoria;LA VICTORIA;CALLE MANUEL SEOANE 275;Privada
JOYAS PRECIOSAS;674903;Chiclayo;La Victoria;LA VICTORIA;CALLE NUEVO MUNDO 228;Privada
INTERNACIONAL EMANUEL;674917;Chiclayo;Chongoyape;PAMPAGRANDE;AVENIDA GARCILAZO DE LA VEGA S/N;Privada
